# Generated by regen.py from Unicode emoji-test.txt, version 17.0.
# © Unicode, Inc. — https://www.unicode.org/terms_of_use.html
# group	subgroup	codepoints	name	tone variants (light..dark)
People & Body	person-activity	1F6B6	person walking	1F6B6-1F3FB 1F6B6-1F3FC 1F6B6-1F3FD 1F6B6-1F3FE 1F6B6-1F3FF
People & Body	person-activity	1F6B6-200D-2642-FE0F	man walking	1F6B6-1F3FB-200D-2642-FE0F 1F6B6-1F3FC-200D-2642-FE0F 1F6B6-1F3FD-200D-2642-FE0F 1F6B6-1F3FE-200D-2642-FE0F 1F6B6-1F3FF-200D-2642-FE0F
People & Body	person-activity	1F6B6-200D-2640-FE0F	woman walking	1F6B6-1F3FB-200D-2640-FE0F 1F6B6-1F3FC-200D-2640-FE0F 1F6B6-1F3FD-200D-2640-FE0F 1F6B6-1F3FE-200D-2640-FE0F 1F6B6-1F3FF-200D-2640-FE0F
People & Body	person-activity	1F6B6-200D-27A1-FE0F	person walking facing right	1F6B6-1F3FB-200D-27A1-FE0F 1F6B6-1F3FC-200D-27A1-FE0F 1F6B6-1F3FD-200D-27A1-FE0F 1F6B6-1F3FE-200D-27A1-FE0F 1F6B6-1F3FF-200D-27A1-FE0F
People & Body	person-activity	1F6B6-200D-2640-FE0F-200D-27A1-FE0F	woman walking facing right	1F6B6-1F3FB-200D-2640-FE0F-200D-27A1-FE0F 1F6B6-1F3FC-200D-2640-FE0F-200D-27A1-FE0F 1F6B6-1F3FD-200D-2640-FE0F-200D-27A1-FE0F 1F6B6-1F3FE-200D-2640-FE0F-200D-27A1-FE0F 1F6B6-1F3FF-200D-2640-FE0F-200D-27A1-FE0F
People & Body	person-activity	1F6B6-200D-2642-FE0F-200D-27A1-FE0F	man walking facing right	1F6B6-1F3FB-200D-2642-FE0F-200D-27A1-FE0F 1F6B6-1F3FC-200D-2642-FE0F-200D-27A1-FE0F 1F6B6-1F3FD-200D-2642-FE0F-200D-27A1-FE0F 1F6B6-1F3FE-200D-2642-FE0F-200D-27A1-FE0F 1F6B6-1F3FF-200D-2642-FE0F-200D-27A1-FE0F
People & Body	person-activity	1F9CD	person standing	1F9CD-1F3FB 1F9CD-1F3FC 1F9CD-1F3FD 1F9CD-1F3FE 1F9CD-1F3FF
People & Body	person-activity	1F9CD-200D-2642-FE0F	man standing	1F9CD-1F3FB-200D-2642-FE0F 1F9CD-1F3FC-200D-2642-FE0F 1F9CD-1F3FD-200D-2642-FE0F 1F9CD-1F3FE-200D-2642-FE0F 1F9CD-1F3FF-200D-2642-FE0F
People & Body	person-activity	1F9CD-200D-2640-FE0F	woman standing	1F9CD-1F3FB-200D-2640-FE0F 1F9CD-1F3FC-200D-2640-FE0F 1F9CD-1F3FD-200D-2640-FE0F 1F9CD-1F3FE-200D-2640-FE0F 1F9CD-1F3FF-200D-2640-FE0F
People & Body	person-activity	1F9CE	person kneeling	1F9CE-1F3FB 1F9CE-1F3FC 1F9CE-1F3FD 1F9CE-1F3FE 1F9CE-1F3FF
People & Body	person-activity	1F9CE-200D-2642-FE0F	man kneeling	1F9CE-1F3FB-200D-2642-FE0F 1F9CE-1F3FC-200D-2642-FE0F 1F9CE-1F3FD-200D-2642-FE0F 1F9CE-1F3FE-200D-2642-FE0F 1F9CE-1F3FF-200D-2642-FE0F
People & Body	person-activity	1F9CE-200D-2640-FE0F	woman kneeling	1F9CE-1F3FB-200D-2640-FE0F 1F9CE-1F3FC-200D-2640-FE0F 1F9CE-1F3FD-200D-2640-FE0F 1F9CE-1F3FE-200D-2640-FE0F 1F9CE-1F3FF-200D-2640-FE0F
People & Body	person-activity	1F9CE-200D-27A1-FE0F	person kneeling facing right	1F9CE-1F3FB-200D-27A1-FE0F 1F9CE-1F3FC-200D-27A1-FE0F 1F9CE-1F3FD-200D-27A1-FE0F 1F9CE-1F3FE-200D-27A1-FE0F 1F9CE-1F3FF-200D-27A1-FE0F
People & Body	person-activity	1F9CE-200D-2640-FE0F-200D-27A1-FE0F	woman kneeling facing right	1F9CE-1F3FB-200D-2640-FE0F-200D-27A1-FE0F 1F9CE-1F3FC-200D-2640-FE0F-200D-27A1-FE0F 1F9CE-1F3FD-200D-2640-FE0F-200D-27A1-FE0F 1F9CE-1F3FE-200D-2640-FE0F-200D-27A1-FE0F 1F9CE-1F3FF-200D-2640-FE0F-200D-27A1-FE0F
People & Body	person-activity	1F9CE-200D-2642-FE0F-200D-27A1-FE0F	man kneeling facing right	1F9CE-1F3FB-200D-2642-FE0F-200D-27A1-FE0F 1F9CE-1F3FC-200D-2642-FE0F-200D-27A1-FE0F 1F9CE-1F3FD-200D-2642-FE0F-200D-27A1-FE0F 1F9CE-1F3FE-200D-2642-FE0F-200D-27A1-FE0F 1F9CE-1F3FF-200D-2642-FE0F-200D-27A1-FE0F
People & Body	person-activity	1F9D1-200D-1F9AF	person with white cane	1F9D1-1F3FB-200D-1F9AF 1F9D1-1F3FC-200D-1F9AF 1F9D1-1F3FD-200D-1F9AF 1F9D1-1F3FE-200D-1F9AF 1F9D1-1F3FF-200D-1F9AF
People & Body	person-activity	1F9D1-200D-1F9AF-200D-27A1-FE0F	person with white cane facing right	1F9D1-1F3FB-200D-1F9AF-200D-27A1-FE0F 1F9D1-1F3FC-200D-1F9AF-200D-27A1-FE0F 1F9D1-1F3FD-200D-1F9AF-200D-27A1-FE0F 1F9D1-1F3FE-200D-1F9AF-200D-27A1-FE0F 1F9D1-1F3FF-200D-1F9AF-200D-27A1-FE0F
People & Body	person-activity	1F468-200D-1F9AF	man with white cane	1F468-1F3FB-200D-1F9AF 1F468-1F3FC-200D-1F9AF 1F468-1F3FD-200D-1F9AF 1F468-1F3FE-200D-1F9AF 1F468-1F3FF-200D-1F9AF
People & Body	person-activity	1F468-200D-1F9AF-200D-27A1-FE0F	man with white cane facing right	1F468-1F3FB-200D-1F9AF-200D-27A1-FE0F 1F468-1F3FC-200D-1F9AF-200D-27A1-FE0F 1F468-1F3FD-200D-1F9AF-200D-27A1-FE0F 1F468-1F3FE-200D-1F9AF-200D-27A1-FE0F 1F468-1F3FF-200D-1F9AF-200D-27A1-FE0F
People & Body	person-activity	1F469-200D-1F9AF	woman with white cane	1F469-1F3FB-200D-1F9AF 1F469-1F3FC-200D-1F9AF 1F469-1F3FD-200D-1F9AF 1F469-1F3FE-200D-1F9AF 1F469-1F3FF-200D-1F9AF
People & Body	person-activity	1F469-200D-1F9AF-200D-27A1-FE0F	woman with white cane facing right	1F469-1F3FB-200D-1F9AF-200D-27A1-FE0F 1F469-1F3FC-200D-1F9AF-200D-27A1-FE0F 1F469-1F3FD-200D-1F9AF-200D-27A1-FE0F 1F469-1F3FE-200D-1F9AF-200D-27A1-FE0F 1F469-1F3FF-200D-1F9AF-200D-27A1-FE0F
People & Body	person-activity	1F9D1-200D-1F9BC	person in motorized wheelchair	1F9D1-1F3FB-200D-1F9BC 1F9D1-1F3FC-200D-1F9BC 1F9D1-1F3FD-200D-1F9BC 1F9D1-1F3FE-200D-1F9BC 1F9D1-1F3FF-200D-1F9BC
People & Body	person-activity	1F9D1-200D-1F9BC-200D-27A1-FE0F	person in motorized wheelchair facing right	1F9D1-1F3FB-200D-1F9BC-200D-27A1-FE0F 1F9D1-1F3FC-200D-1F9BC-200D-27A1-FE0F 1F9D1-1F3FD-200D-1F9BC-200D-27A1-FE0F 1F9D1-1F3FE-200D-1F9BC-200D-27A1-FE0F 1F9D1-1F3FF-200D-1F9BC-200D-27A1-FE0F
People & Body	person-activity	1F468-200D-1F9BC	man in motorized wheelchair	1F468-1F3FB-200D-1F9BC 1F468-1F3FC-200D-1F9BC 1F468-1F3FD-200D-1F9BC 1F468-1F3FE-200D-1F9BC 1F468-1F3FF-200D-1F9BC
People & Body	person-activity	1F468-200D-1F9BC-200D-27A1-FE0F	man in motorized wheelchair facing right	1F468-1F3FB-200D-1F9BC-200D-27A1-FE0F 1F468-1F3FC-200D-1F9BC-200D-27A1-FE0F 1F468-1F3FD-200D-1F9BC-200D-27A1-FE0F 1F468-1F3FE-200D-1F9BC-200D-27A1-FE0F 1F468-1F3FF-200D-1F9BC-200D-27A1-FE0F
People & Body	person-activity	1F469-200D-1F9BC	woman in motorized wheelchair	1F469-1F3FB-200D-1F9BC 1F469-1F3FC-200D-1F9BC 1F469-1F3FD-200D-1F9BC 1F469-1F3FE-200D-1F9BC 1F469-1F3FF-200D-1F9BC
People & Body	person-activity	1F469-200D-1F9BC-200D-27A1-FE0F	woman in motorized wheelchair facing right	1F469-1F3FB-200D-1F9BC-200D-27A1-FE0F 1F469-1F3FC-200D-1F9BC-200D-27A1-FE0F 1F469-1F3FD-200D-1F9BC-200D-27A1-FE0F 1F469-1F3FE-200D-1F9BC-200D-27A1-FE0F 1F469-1F3FF-200D-1F9BC-200D-27A1-FE0F
People & Body	person-activity	1F9D1-200D-1F9BD	person in manual wheelchair	1F9D1-1F3FB-200D-1F9BD 1F9D1-1F3FC-200D-1F9BD 1F9D1-1F3FD-200D-1F9BD 1F9D1-1F3FE-200D-1F9BD 1F9D1-1F3FF-200D-1F9BD
People & Body	person-activity	1F9D1-200D-1F9BD-200D-27A1-FE0F	person in manual wheelchair facing right	1F9D1-1F3FB-200D-1F9BD-200D-27A1-FE0F 1F9D1-1F3FC-200D-1F9BD-200D-27A1-FE0F 1F9D1-1F3FD-200D-1F9BD-200D-27A1-FE0F 1F9D1-1F3FE-200D-1F9BD-200D-27A1-FE0F 1F9D1-1F3FF-200D-1F9BD-200D-27A1-FE0F
People & Body	person-activity	1F468-200D-1F9BD	man in manual wheelchair	1F468-1F3FB-200D-1F9BD 1F468-1F3FC-200D-1F9BD 1F468-1F3FD-200D-1F9BD 1F468-1F3FE-200D-1F9BD 1F468-1F3FF-200D-1F9BD
People & Body	person-activity	1F468-200D-1F9BD-200D-27A1-FE0F	man in manual wheelchair facing right	1F468-1F3FB-200D-1F9BD-200D-27A1-FE0F 1F468-1F3FC-200D-1F9BD-200D-27A1-FE0F 1F468-1F3FD-200D-1F9BD-200D-27A1-FE0F 1F468-1F3FE-200D-1F9BD-200D-27A1-FE0F 1F468-1F3FF-200D-1F9BD-200D-27A1-FE0F
People & Body	person-activity	1F469-200D-1F9BD	woman in manual wheelchair	1F469-1F3FB-200D-1F9BD 1F469-1F3FC-200D-1F9BD 1F469-1F3FD-200D-1F9BD 1F469-1F3FE-200D-1F9BD 1F469-1F3FF-200D-1F9BD
People & Body	person-activity	1F469-200D-1F9BD-200D-27A1-FE0F	woman in manual wheelchair facing right	1F469-1F3FB-200D-1F9BD-200D-27A1-FE0F 1F469-1F3FC-200D-1F9BD-200D-27A1-FE0F 1F469-1F3FD-200D-1F9BD-200D-27A1-FE0F 1F469-1F3FE-200D-1F9BD-200D-27A1-FE0F 1F469-1F3FF-200D-1F9BD-200D-27A1-FE0F
People & Body	person-activity	1F3C3	person running	1F3C3-1F3FB 1F3C3-1F3FC 1F3C3-1F3FD 1F3C3-1F3FE 1F3C3-1F3FF
People & Body	person-activity	1F3C3-200D-2642-FE0F	man running	1F3C3-1F3FB-200D-2642-FE0F 1F3C3-1F3FC-200D-2642-FE0F 1F3C3-1F3FD-200D-2642-FE0F 1F3C3-1F3FE-200D-2642-FE0F 1F3C3-1F3FF-200D-2642-FE0F
People & Body	person-activity	1F3C3-200D-2640-FE0F	woman running	1F3C3-1F3FB-200D-2640-FE0F 1F3C3-1F3FC-200D-2640-FE0F 1F3C3-1F3FD-200D-2640-FE0F 1F3C3-1F3FE-200D-2640-FE0F 1F3C3-1F3FF-200D-2640-FE0F
People & Body	person-activity	1F3C3-200D-27A1-FE0F	person running facing right	1F3C3-1F3FB-200D-27A1-FE0F 1F3C3-1F3FC-200D-27A1-FE0F 1F3C3-1F3FD-200D-27A1-FE0F 1F3C3-1F3FE-200D-27A1-FE0F 1F3C3-1F3FF-200D-27A1-FE0F
People & Body	person-activity	1F3C3-200D-2640-FE0F-200D-27A1-FE0F	woman running facing right	1F3C3-1F3FB-200D-2640-FE0F-200D-27A1-FE0F 1F3C3-1F3FC-200D-2640-FE0F-200D-27A1-FE0F 1F3C3-1F3FD-200D-2640-FE0F-200D-27A1-FE0F 1F3C3-1F3FE-200D-2640-FE0F-200D-27A1-FE0F 1F3C3-1F3FF-200D-2640-FE0F-200D-27A1-FE0F
People & Body	person-activity	1F3C3-200D-2642-FE0F-200D-27A1-FE0F	man running facing right	1F3C3-1F3FB-200D-2642-FE0F-200D-27A1-FE0F 1F3C3-1F3FC-200D-2642-FE0F-200D-27A1-FE0F 1F3C3-1F3FD-200D-2642-FE0F-200D-27A1-FE0F 1F3C3-1F3FE-200D-2642-FE0F-200D-27A1-FE0F 1F3C3-1F3FF-200D-2642-FE0F-200D-27A1-FE0F
People & Body	person-activity	1F9D1-200D-1FA70	ballet dancer	1F9D1-1F3FB-200D-1FA70 1F9D1-1F3FC-200D-1FA70 1F9D1-1F3FD-200D-1FA70 1F9D1-1F3FE-200D-1FA70 1F9D1-1F3FF-200D-1FA70
People & Body	person-activity	1F483	woman dancing	1F483-1F3FB 1F483-1F3FC 1F483-1F3FD 1F483-1F3FE 1F483-1F3FF
People & Body	person-activity	1F57A	man dancing	1F57A-1F3FB 1F57A-1F3FC 1F57A-1F3FD 1F57A-1F3FE 1F57A-1F3FF
People & Body	person-activity	1F574-FE0F	person in suit levitating	1F574-1F3FB 1F574-1F3FC 1F574-1F3FD 1F574-1F3FE 1F574-1F3FF
People & Body	person-activity	1F46F	people with bunny ears	1F46F-1F3FB 1F46F-1F3FC 1F46F-1F3FD 1F46F-1F3FE 1F46F-1F3FF
People & Body	person-activity	1F46F-200D-2642-FE0F	men with bunny ears	1F46F-1F3FB-200D-2642-FE0F 1F46F-1F3FC-200D-2642-FE0F 1F46F-1F3FD-200D-2642-FE0F 1F46F-1F3FE-200D-2642-FE0F 1F46F-1F3FF-200D-2642-FE0F
People & Body	person-activity	1F46F-200D-2640-FE0F	women with bunny ears	1F46F-1F3FB-200D-2640-FE0F 1F46F-1F3FC-200D-2640-FE0F 1F46F-1F3FD-200D-2640-FE0F 1F46F-1F3FE-200D-2640-FE0F 1F46F-1F3FF-200D-2640-FE0F
People & Body	person-activity	1F9D6	person in steamy room	1F9D6-1F3FB 1F9D6-1F3FC 1F9D6-1F3FD 1F9D6-1F3FE 1F9D6-1F3FF
People & Body	person-activity	1F9D6-200D-2642-FE0F	man in steamy room	1F9D6-1F3FB-200D-2642-FE0F 1F9D6-1F3FC-200D-2642-FE0F 1F9D6-1F3FD-200D-2642-FE0F 1F9D6-1F3FE-200D-2642-FE0F 1F9D6-1F3FF-200D-2642-FE0F
People & Body	person-activity	1F9D6-200D-2640-FE0F	woman in steamy room	1F9D6-1F3FB-200D-2640-FE0F 1F9D6-1F3FC-200D-2640-FE0F 1F9D6-1F3FD-200D-2640-FE0F 1F9D6-1F3FE-200D-2640-FE0F 1F9D6-1F3FF-200D-2640-FE0F
People & Body	person-activity	1F9D7	person climbing	1F9D7-1F3FB 1F9D7-1F3FC 1F9D7-1F3FD 1F9D7-1F3FE 1F9D7-1F3FF
People & Body	person-activity	1F9D7-200D-2642-FE0F	man climbing	1F9D7-1F3FB-200D-2642-FE0F 1F9D7-1F3FC-200D-2642-FE0F 1F9D7-1F3FD-200D-2642-FE0F 1F9D7-1F3FE-200D-2642-FE0F 1F9D7-1F3FF-200D-2642-FE0F
People & Body	person-activity	1F9D7-200D-2640-FE0F	woman climbing	1F9D7-1F3FB-200D-2640-FE0F 1F9D7-1F3FC-200D-2640-FE0F 1F9D7-1F3FD-200D-2640-FE0F 1F9D7-1F3FE-200D-2640-FE0F 1F9D7-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F93A	person fencing	
People & Body	person-sport	1F3C7	horse racing	1F3C7-1F3FB 1F3C7-1F3FC 1F3C7-1F3FD 1F3C7-1F3FE 1F3C7-1F3FF
People & Body	person-sport	26F7-FE0F	skier	
People & Body	person-sport	1F3C2	snowboarder	1F3C2-1F3FB 1F3C2-1F3FC 1F3C2-1F3FD 1F3C2-1F3FE 1F3C2-1F3FF
People & Body	person-sport	1F3CC-FE0F	person golfing	1F3CC-1F3FB 1F3CC-1F3FC 1F3CC-1F3FD 1F3CC-1F3FE 1F3CC-1F3FF
People & Body	person-sport	1F3CC-FE0F-200D-2642-FE0F	man golfing	1F3CC-1F3FB-200D-2642-FE0F 1F3CC-1F3FC-200D-2642-FE0F 1F3CC-1F3FD-200D-2642-FE0F 1F3CC-1F3FE-200D-2642-FE0F 1F3CC-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F3CC-FE0F-200D-2640-FE0F	woman golfing	1F3CC-1F3FB-200D-2640-FE0F 1F3CC-1F3FC-200D-2640-FE0F 1F3CC-1F3FD-200D-2640-FE0F 1F3CC-1F3FE-200D-2640-FE0F 1F3CC-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F3C4	person surfing	1F3C4-1F3FB 1F3C4-1F3FC 1F3C4-1F3FD 1F3C4-1F3FE 1F3C4-1F3FF
People & Body	person-sport	1F3C4-200D-2642-FE0F	man surfing	1F3C4-1F3FB-200D-2642-FE0F 1F3C4-1F3FC-200D-2642-FE0F 1F3C4-1F3FD-200D-2642-FE0F 1F3C4-1F3FE-200D-2642-FE0F 1F3C4-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F3C4-200D-2640-FE0F	woman surfing	1F3C4-1F3FB-200D-2640-FE0F 1F3C4-1F3FC-200D-2640-FE0F 1F3C4-1F3FD-200D-2640-FE0F 1F3C4-1F3FE-200D-2640-FE0F 1F3C4-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F6A3	person rowing boat	1F6A3-1F3FB 1F6A3-1F3FC 1F6A3-1F3FD 1F6A3-1F3FE 1F6A3-1F3FF
People & Body	person-sport	1F6A3-200D-2642-FE0F	man rowing boat	1F6A3-1F3FB-200D-2642-FE0F 1F6A3-1F3FC-200D-2642-FE0F 1F6A3-1F3FD-200D-2642-FE0F 1F6A3-1F3FE-200D-2642-FE0F 1F6A3-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F6A3-200D-2640-FE0F	woman rowing boat	1F6A3-1F3FB-200D-2640-FE0F 1F6A3-1F3FC-200D-2640-FE0F 1F6A3-1F3FD-200D-2640-FE0F 1F6A3-1F3FE-200D-2640-FE0F 1F6A3-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F3CA	person swimming	1F3CA-1F3FB 1F3CA-1F3FC 1F3CA-1F3FD 1F3CA-1F3FE 1F3CA-1F3FF
People & Body	person-sport	1F3CA-200D-2642-FE0F	man swimming	1F3CA-1F3FB-200D-2642-FE0F 1F3CA-1F3FC-200D-2642-FE0F 1F3CA-1F3FD-200D-2642-FE0F 1F3CA-1F3FE-200D-2642-FE0F 1F3CA-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F3CA-200D-2640-FE0F	woman swimming	1F3CA-1F3FB-200D-2640-FE0F 1F3CA-1F3FC-200D-2640-FE0F 1F3CA-1F3FD-200D-2640-FE0F 1F3CA-1F3FE-200D-2640-FE0F 1F3CA-1F3FF-200D-2640-FE0F
People & Body	person-sport	26F9-FE0F	person bouncing ball	26F9-1F3FB 26F9-1F3FC 26F9-1F3FD 26F9-1F3FE 26F9-1F3FF
People & Body	person-sport	26F9-FE0F-200D-2642-FE0F	man bouncing ball	26F9-1F3FB-200D-2642-FE0F 26F9-1F3FC-200D-2642-FE0F 26F9-1F3FD-200D-2642-FE0F 26F9-1F3FE-200D-2642-FE0F 26F9-1F3FF-200D-2642-FE0F
People & Body	person-sport	26F9-FE0F-200D-2640-FE0F	woman bouncing ball	26F9-1F3FB-200D-2640-FE0F 26F9-1F3FC-200D-2640-FE0F 26F9-1F3FD-200D-2640-FE0F 26F9-1F3FE-200D-2640-FE0F 26F9-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F3CB-FE0F	person lifting weights	1F3CB-1F3FB 1F3CB-1F3FC 1F3CB-1F3FD 1F3CB-1F3FE 1F3CB-1F3FF
People & Body	person-sport	1F3CB-FE0F-200D-2642-FE0F	man lifting weights	1F3CB-1F3FB-200D-2642-FE0F 1F3CB-1F3FC-200D-2642-FE0F 1F3CB-1F3FD-200D-2642-FE0F 1F3CB-1F3FE-200D-2642-FE0F 1F3CB-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F3CB-FE0F-200D-2640-FE0F	woman lifting weights	1F3CB-1F3FB-200D-2640-FE0F 1F3CB-1F3FC-200D-2640-FE0F 1F3CB-1F3FD-200D-2640-FE0F 1F3CB-1F3FE-200D-2640-FE0F 1F3CB-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F6B4	person biking	1F6B4-1F3FB 1F6B4-1F3FC 1F6B4-1F3FD 1F6B4-1F3FE 1F6B4-1F3FF
People & Body	person-sport	1F6B4-200D-2642-FE0F	man biking	1F6B4-1F3FB-200D-2642-FE0F 1F6B4-1F3FC-200D-2642-FE0F 1F6B4-1F3FD-200D-2642-FE0F 1F6B4-1F3FE-200D-2642-FE0F 1F6B4-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F6B4-200D-2640-FE0F	woman biking	1F6B4-1F3FB-200D-2640-FE0F 1F6B4-1F3FC-200D-2640-FE0F 1F6B4-1F3FD-200D-2640-FE0F 1F6B4-1F3FE-200D-2640-FE0F 1F6B4-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F6B5	person mountain biking	1F6B5-1F3FB 1F6B5-1F3FC 1F6B5-1F3FD 1F6B5-1F3FE 1F6B5-1F3FF
People & Body	person-sport	1F6B5-200D-2642-FE0F	man mountain biking	1F6B5-1F3FB-200D-2642-FE0F 1F6B5-1F3FC-200D-2642-FE0F 1F6B5-1F3FD-200D-2642-FE0F 1F6B5-1F3FE-200D-2642-FE0F 1F6B5-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F6B5-200D-2640-FE0F	woman mountain biking	1F6B5-1F3FB-200D-2640-FE0F 1F6B5-1F3FC-200D-2640-FE0F 1F6B5-1F3FD-200D-2640-FE0F 1F6B5-1F3FE-200D-2640-FE0F 1F6B5-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F938	person cartwheeling	1F938-1F3FB 1F938-1F3FC 1F938-1F3FD 1F938-1F3FE 1F938-1F3FF
People & Body	person-sport	1F938-200D-2642-FE0F	man cartwheeling	1F938-1F3FB-200D-2642-FE0F 1F938-1F3FC-200D-2642-FE0F 1F938-1F3FD-200D-2642-FE0F 1F938-1F3FE-200D-2642-FE0F 1F938-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F938-200D-2640-FE0F	woman cartwheeling	1F938-1F3FB-200D-2640-FE0F 1F938-1F3FC-200D-2640-FE0F 1F938-1F3FD-200D-2640-FE0F 1F938-1F3FE-200D-2640-FE0F 1F938-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F93C	people wrestling	1F93C-1F3FB 1F93C-1F3FC 1F93C-1F3FD 1F93C-1F3FE 1F93C-1F3FF
People & Body	person-sport	1F93C-200D-2642-FE0F	men wrestling	1F93C-1F3FB-200D-2642-FE0F 1F93C-1F3FC-200D-2642-FE0F 1F93C-1F3FD-200D-2642-FE0F 1F93C-1F3FE-200D-2642-FE0F 1F93C-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F93C-200D-2640-FE0F	women wrestling	1F93C-1F3FB-200D-2640-FE0F 1F93C-1F3FC-200D-2640-FE0F 1F93C-1F3FD-200D-2640-FE0F 1F93C-1F3FE-200D-2640-FE0F 1F93C-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F93D	person playing water polo	1F93D-1F3FB 1F93D-1F3FC 1F93D-1F3FD 1F93D-1F3FE 1F93D-1F3FF
People & Body	person-sport	1F93D-200D-2642-FE0F	man playing water polo	1F93D-1F3FB-200D-2642-FE0F 1F93D-1F3FC-200D-2642-FE0F 1F93D-1F3FD-200D-2642-FE0F 1F93D-1F3FE-200D-2642-FE0F 1F93D-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F93D-200D-2640-FE0F	woman playing water polo	1F93D-1F3FB-200D-2640-FE0F 1F93D-1F3FC-200D-2640-FE0F 1F93D-1F3FD-200D-2640-FE0F 1F93D-1F3FE-200D-2640-FE0F 1F93D-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F93E	person playing handball	1F93E-1F3FB 1F93E-1F3FC 1F93E-1F3FD 1F93E-1F3FE 1F93E-1F3FF
People & Body	person-sport	1F93E-200D-2642-FE0F	man playing handball	1F93E-1F3FB-200D-2642-FE0F 1F93E-1F3FC-200D-2642-FE0F 1F93E-1F3FD-200D-2642-FE0F 1F93E-1F3FE-200D-2642-FE0F 1F93E-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F93E-200D-2640-FE0F	woman playing handball	1F93E-1F3FB-200D-2640-FE0F 1F93E-1F3FC-200D-2640-FE0F 1F93E-1F3FD-200D-2640-FE0F 1F93E-1F3FE-200D-2640-FE0F 1F93E-1F3FF-200D-2640-FE0F
People & Body	person-sport	1F939	person juggling	1F939-1F3FB 1F939-1F3FC 1F939-1F3FD 1F939-1F3FE 1F939-1F3FF
People & Body	person-sport	1F939-200D-2642-FE0F	man juggling	1F939-1F3FB-200D-2642-FE0F 1F939-1F3FC-200D-2642-FE0F 1F939-1F3FD-200D-2642-FE0F 1F939-1F3FE-200D-2642-FE0F 1F939-1F3FF-200D-2642-FE0F
People & Body	person-sport	1F939-200D-2640-FE0F	woman juggling	1F939-1F3FB-200D-2640-FE0F 1F939-1F3FC-200D-2640-FE0F 1F939-1F3FD-200D-2640-FE0F 1F939-1F3FE-200D-2640-FE0F 1F939-1F3FF-200D-2640-FE0F
People & Body	person-resting	1F9D8	person in lotus position	1F9D8-1F3FB 1F9D8-1F3FC 1F9D8-1F3FD 1F9D8-1F3FE 1F9D8-1F3FF
People & Body	person-resting	1F9D8-200D-2642-FE0F	man in lotus position	1F9D8-1F3FB-200D-2642-FE0F 1F9D8-1F3FC-200D-2642-FE0F 1F9D8-1F3FD-200D-2642-FE0F 1F9D8-1F3FE-200D-2642-FE0F 1F9D8-1F3FF-200D-2642-FE0F
People & Body	person-resting	1F9D8-200D-2640-FE0F	woman in lotus position	1F9D8-1F3FB-200D-2640-FE0F 1F9D8-1F3FC-200D-2640-FE0F 1F9D8-1F3FD-200D-2640-FE0F 1F9D8-1F3FE-200D-2640-FE0F 1F9D8-1F3FF-200D-2640-FE0F
People & Body	person-resting	1F6C0	person taking bath	1F6C0-1F3FB 1F6C0-1F3FC 1F6C0-1F3FD 1F6C0-1F3FE 1F6C0-1F3FF
People & Body	person-resting	1F6CC	person in bed	1F6CC-1F3FB 1F6CC-1F3FC 1F6CC-1F3FD 1F6CC-1F3FE 1F6CC-1F3FF
People & Body	family	1F9D1-200D-1F91D-200D-1F9D1	people holding hands	1F9D1-1F3FB-200D-1F91D-200D-1F9D1-1F3FB 1F9D1-1F3FC-200D-1F91D-200D-1F9D1-1F3FC 1F9D1-1F3FD-200D-1F91D-200D-1F9D1-1F3FD 1F9D1-1F3FE-200D-1F91D-200D-1F9D1-1F3FE 1F9D1-1F3FF-200D-1F91D-200D-1F9D1-1F3FF
People & Body	family	1F46D	women holding hands	1F46D-1F3FB 1F46D-1F3FC 1F46D-1F3FD 1F46D-1F3FE 1F46D-1F3FF
People & Body	family	1F46B	woman and man holding hands	1F46B-1F3FB 1F46B-1F3FC 1F46B-1F3FD 1F46B-1F3FE 1F46B-1F3FF
People & Body	family	1F46C	men holding hands	1F46C-1F3FB 1F46C-1F3FC 1F46C-1F3FD 1F46C-1F3FE 1F46C-1F3FF
People & Body	family	1F48F	kiss	1F48F-1F3FB 1F48F-1F3FC 1F48F-1F3FD 1F48F-1F3FE 1F48F-1F3FF
